"category";"front";"back";"example"
"adjective + preposition";"bad";"at";"test\ntest"
"adjective + preposition";"bored";"with";""
"adjective + preposition";"crowded";"with";""
"adjective + preposition";"different";"from";""
"adjective + preposition";"fed up";"with";""
"adjective + preposition";"good";"at";""
"adjective + preposition";"interested";"in";""
"adjective + preposition";"responsible";"for";""
"adjective + preposition";"shocked";"at/by";""
"adjective + preposition";"sick (tired)";"of";""
"adjective + preposition";"similar";"to";""
"adjective + preposition";"sorry";"for someone, for/about what happen";""
"adjective + preposition";"surprise";"at/by";""
"adjective + preposition";"tired";"of";""
"adjective + preposition";"upset";"at/by";""
"noun + preposition";"access";"to";""
"noun + preposition";"addicition";"to";""
"noun + preposition";"address";"of";""
"noun + preposition";"admiration";"for";""
"noun + preposition";"advantage";"of";"warning with be: There are many advantage in/to living in CH. BUT: The advantage of living"
"noun + preposition";"advertisement";"for";""
"noun + preposition";"allusion";"to";""
"noun + preposition";"approach";"to";""
"noun + preposition";"approval";"for";""
"noun + preposition";"argument";"with/for/against";"an argument for/against an idea.\nAn argument with someone."
"noun + preposition";"attitude";"to";""
"noun + preposition";"awareness";"of";""
"noun + preposition";"belief";"in";""
"noun + preposition";"bid";"for";""
"noun + preposition";"case";"for";"The report makes out a strong case for spending more money."
"noun + preposition";"cause";"of";""
"noun + preposition";"change";"in/to";"A change in state/trajectory.\nA change to the constitution."
"noun + preposition";"concern";"with";""
"noun + preposition";"connection";"with";""
"noun + preposition";"contact";"with";""
"noun + preposition";"contribution";"to";""
"noun + preposition";"course in";"in";"a course in math"
"noun + preposition";"credit";"for";""
"noun + preposition";"cure";"for";""
"noun + preposition";"damage";"to";""
"noun + preposition";"date";"with";""
"noun + preposition";"decrease";"in";""
"noun + preposition";"dedication";"to";""
"noun + preposition";"delay";"in";""
"noun + preposition";"demand";"for";""
"noun + preposition";"desire";"for/to";"A desire for world peace. A desire to do something."
"noun + preposition";"devotion";"to";""
"noun + preposition";"difference";"in";""
"noun + preposition";"difficulty";"with";""
"noun + preposition";"disadvantage";"of";""
"noun + preposition";"example";"of";""
"noun + preposition";"exhibition";"of";""
"noun + preposition";"experience";"in/of/with";"An experience in hunger: I suffered from hunger.\nAn experience in psychology.\nHaving experience (in working) with children.\nHaving experience with a tool."
"noun + preposition";"fall";"in";""
"noun + preposition";"fear";"of";""
"noun + preposition";"fondness";"for";""
"noun + preposition";"grasp";"of";""
"noun + preposition";"growth";"in";""
"noun + preposition";"habit";"of";""
"noun + preposition";"hatred";"for";""
"noun + preposition";"interest";"in";""
"noun + preposition";"invitation";"to";""
"noun + preposition";"involvement";"with";""
"noun + preposition";"knowledge";"of";""
"noun + preposition";"lesson";"in";""
"noun + preposition";"link";"with";""
"noun + preposition";"love";"for/of";"A love for cats: he loves only cats.\nA love of cats: his love includes cats."
"noun + preposition";"meeting";"with";""
"noun + preposition";"member";"of";""
"noun + preposition";"memory";"of";""
"noun + preposition";"method";"of";""
"noun + preposition";"need";"for";""
"noun + preposition";"newcomer";"to";""
"noun + preposition";"participation";"in";""
"noun + preposition";"place";"in";""
"noun + preposition";"possibility";"of";""
"noun + preposition";"preference";"for";""
"noun + preposition";"problem";"of";""
"noun + preposition";"process";"of";""
"noun + preposition";"quarrel";"with";""
"noun + preposition";"reason";"to/for";""
"noun + preposition";"recipe";"for";""
"noun + preposition";"reference";"to";""
"noun + preposition";"relationship";"with";""
"noun + preposition";"relevance";"of";""
"noun + preposition";"reputation";"for";""
"noun + preposition";"resistance";"to";""
"noun + preposition";"respect";"for";""
"noun + preposition";"response";"to";""
"noun + preposition";"responsibility";"for";""
"noun + preposition";"rise";"in";""
"noun + preposition";"risk";"of";""
"noun + preposition";"room";"for";""
"noun + preposition";"search";"for";""
"noun + preposition";"solution";"to";""
"noun + preposition";"success";"in";""
"noun + preposition";"sympathy";"with";""
"noun + preposition";"talent";"for";""
"noun + preposition";"thirst";"for";""
"noun + preposition";"transition";"to";""
"noun + preposition";"understanding";"of";""
"noun + preposition";"visit";"to";""
"noun + preposition";"way";"of";"the way of doing something"
"phrasal verb";"(in bookkeeping) transfer a total sum from the bottom of one page to the top of the next.";"bring forward";""
"phrasal verb";"(of a breastfeeding baby) get its mouth into the correct position around the nipple.";"latch on";"Jamie wasn't latching on properly, and my nipple got sorer and sorer"
"phrasal verb";"(of a building or other structure) have its back facing or adjacent to something.";"back on to";"his garage wall backs on to the neighbouring property"
"phrasal verb";"(of a building or other structure) have its back facing or adjacent to something.";"back on to";"his garage wall backs on to the neighbouring property"
"phrasal verb";"(of a business) become bankrupt.";"go under";"about six years after I left, the company went under"
"phrasal verb";"(of a date or regular occurrence) recur; be imminent again.";"come round";"Friday had come round so quickly"
"phrasal verb";"(of a feeling) affect, influence, or take control of someone.";"get into";"I don't know what's got into him"
"phrasal verb";"(of a film, TV episode, etc.) show events that will happen at a later time than the main story.";"flash forward";"The story flashed forward to the modern day"
"phrasal verb";"(of a machine) break down.";"pack in";"at Gatwick, the engine packed in"
"phrasal verb";"(of a person) appear or sound in a specified way; give a specified impression.";"come across";"he'd always come across as a decent guy"
"phrasal verb";"(of a piece of legislation) become law.";"get through";"the health care legislation got through the House, winning by two votes"
"phrasal verb";"(of a political party or candidate) be elected.";"get in";"the Liberals will get in with a majority"
"phrasal verb";"(of a river) flow or discharge itself into another body of water.";"fall into";"this is the stream that falls into Gaping Gill on the moor above"
"phrasal verb";"(of an author, book, recording artist, etc.) generate sufficient income through sales to equal the amount paid in an advance or royalty.";"earn out";"four out of five of his books did not earn out their advance"
"phrasal verb";"(of an idea) be communicated clearly.";"get across";"your meaning didn't really get across"
"phrasal verb";"(of an object) become lost or mislaid.";"go astray";"the money had gone astray"
"phrasal verb";"(of bad weather) fail to occur.";"keep off";"the rain kept off until we boarded our coach"
"phrasal verb";"(of people) gather or assemble socially or to cooperate.";"get together";"we must get together for a drink sometime"
"phrasal verb";"(of people) remain associated; help or support each other.";"hang together";"the autonomous regions have an incentive to hang together"
"phrasal verb";"(of rain) fall very heavily.";"lash down";"when I awoke the rain was lashing down"
"phrasal verb";"(of two or more people) gradually become less intimate or friendly.";"drift apart";"Lewis and his father drifted apart"
